reciprocal_of_rate,availability
131.3875,0.999999
10,0.999700665703853
20,0.9999506641588863
30,0.9999820235758513
40,0.9999908754297316
50,0.9999944443340849
60,0.9999962076173854
70,0.9999972014231362
80,0.9999978156364142
90,0.9999982219722101
100,0.9999985051873238
110,0.9999987108937856
120,0.9999988653683272
130,0.9999989845995496
140,0.9999990787682616
150,0.9999991546068311
160,0.9999992167146946
170,0.9999992683196729
180,0.9999993117447137
190,0.9999993486969474
200,0.9999993804536967
210,0.9999994079874919
220,0.9999994320501169
230,0.9999994532294867
240,0.9999994719923875
250,0.9999994887127214
260,0.999999503693086
270,0.9999995171809702
280,0.9999995293799162
290,0.9999995404596127
300,0.9999995505613372
310,0.9999995598048247
320,0.9999995682922919
330,0.999999576106446
340,0.9999995833243994
350,0.9999995900087433
360,0.9999995962158151
370,0.9999996019919402
380,0.9999996073799682
390,0.9999996124165077
400,0.9999996171338771
410,0.99999962156048
420,0.9999996257218974
430,0.999999629640598
440,0.9999996333365133
450,0.999999636827832
460,0.9999996401304563
470,0.9999996432593352
480,0.9999996462276223
490,0.9999996490459017
500,0.9999996517261356
510,0.9999996542777729
520,0.999999656709564
530,0.9999996590297672
540,0.9999996612453134
550,0.9999996633633946
560,0.9999996653898021
570,0.9999996673309937
580,0.9999996691912739
590,0.9999996709759353
600,0.9999996726893392
610,0.9999996743356576
620,0.9999996759185871
630,0.9999996774417218
640,0.9999996789081986
650,0.9999996803213308
660,0.9999996816836548
670,0.9999996829981537
680,0.9999996842669254
690,0.9999996854923927
700,0.9999996866768862
710,0.99999968782204
720,0.9999996889301304
730,0.9999996900025329
740,0.9999996910411537
750,0.9999996920475976
760,0.9999996930232712
770,0.999999693969468
780,0.9999996948874976
790,0.9999996957784928
800,0.9999996966439144
810,0.9999996974845904
820,0.9999996983014976
830,0.9999996990958036
840,0.9999996998684482
850,0.9999997006201967
860,0.9999997013517936
870,0.9999997020643215
880,0.9999997027580152
890,0.999999703434035
900,0.999999704092823
910,0.9999997047351569
920,0.9999997053615288
930,0.9999997059727552
940,0.9999997065690025
950,0.9999997071512091
960,0.9999997077194563
970,0.9999997082744901
980,0.999999708816813
990,0.999999709346595
1000,0.9999997098644672
1010,0.9999997103706861
1020,0.9999997108657748
1030,0.9999997113500879
1040,0.9999997118239023
1050,0.9999997122875754
1060,0.999999712741353
1070,0.9999997131856827
1080,0.9999997136207404
1090,0.9999997140469542
1100,0.9999997144643539
1110,0.9999997148734704
1120,0.9999997152743163
1130,0.9999997156674294
1140,0.9999997160525537
1150,0.9999997164304211
1160,0.9999997168010804
1170,0.9999997171645024
1180,0.9999997175211448
1190,0.9999997178711322
1200,0.9999997182147
1210,0.9999997185518684
1220,0.9999997188828554
1230,0.9999997192080232
1240,0.9999997195273432
1250,0.9999997198410873
1260,0.9999997201491811
1270,0.9999997204519946
1280,0.9999997207495523
1290,0.9999997210420338
1300,0.9999997213295629
1310,0.9999997216122172
1320,0.9999997218902463
1330,0.999999722163639
1340,0.9999997224323877
1350,0.9999997226970084
1360,0.9999997229571903
1370,0.9999997232132205
1380,0.999999723465214
1390,0.9999997237131156
1400,0.999999723957238
1410,0.9999997241976492
1420,0.9999997244342241
1430,0.9999997246670204
1440,0.999999724896608
1450,0.9999997251226956
1460,0.9999997253452616
1470,0.9999997255644907
1480,0.9999997257805598
1490,0.9999997259935232
1500,0.999999726203417
1510,0.9999997264101661
1520,0.999999726614539
1530,0.9999997268148048
1540,0.9999997270129629
1550,0.9999997272082825
1560,0.9999997274008487
1570,0.9999997275906268
1580,0.9999997277779524
1590,0.9999997279627473
1600,0.9999997281449758
1610,0.9999997283248078
1620,0.9999997285021569
1630,0.9999997286770981
1640,0.9999997288498179
1650,0.9999997290201935
1660,0.9999997291885148
1670,0.9999997293545042
1680,0.9999997295183654
1690,0.9999997296801285
1700,0.9999997298399103
1710,0.9999997299976727
1720,0.9999997301533784
1730,0.9999997303071616
1740,0.9999997304590332
1750,0.9999997306090841
1760,0.9999997307572759
1770,0.9999997309036128
1780,0.9999997310482774
1790,0.9999997311912064
1800,0.9999997313322753
1810,0.9999997314717511
1820,0.9999997316095277
1830,0.9999997317458054
1840,0.9999997318803295
1850,0.9999997320133855
1860,0.9999997321450008
1870,0.9999997322750022
1880,0.9999997324035268
1890,0.9999997325305341
1900,0.9999997326562434
1910,0.9999997327803992
1920,0.9999997329029581
1930,0.9999997330246723
1940,0.9999997331448611
1950,0.9999997332635088
1960,0.9999997333810082
1970,0.9999997334972561
1980,0.9999997336122118
1990,0.9999997337259211
